"","location","gamma","z0","L","deposition"
"1",1,0.1,0.001,-1,0.0166354384563438
"2",1,0.4,1.98218082797576,-489.548990792602,0.0152075025526741
"3",1,0.106026886910552,1.97626003688834,-500,0.0207246669444051
"4",1,0.106109310489888,0.0172277821404883,-495.837492031733,0.01502238399631
"5",1,0.4,0.00507484599093432,-500,0.00672723248944955
"6",1,0.396890107003529,2,-1,0.0459868915399265
"7",1,0.4,0.0411877903260842,-4.01837494308512,0.0323021677398037
"8",1,0.1,2,-1,0.0611947458307527
"9",1,0.270918861495852,1.34784022066477,-427.8403351646,0.0160551049575012
"10",1,0.322152532548479,1.0128715639535,-23.6368648849427,0.0433695397973254
"11",1,0.163649858515057,1.00034159074585,-89.5880163353766,0.0291854181366598
"12",1,0.248618594912892,0.001,-122.382821492023,0.0102075746470459
"13",1,0.394560412076494,0.683680392047233,-278.175419722188,0.0127515442133997
"14",1,0.253664879284403,0.168515878139983,-388.391882789477,0.0100341546139336
"15",1,0.115636343495813,0.974866948399969,-354.111584356431,0.0187170089108501
"16",1,0.257471409615691,1.90061255365609,-166.410042209981,0.0247960357936915
"17",1,0.342261485235635,0.001,-185.36093099363,0.00791005213049147
"18",1,0.246333663604595,1.54036557959004,-17.1499778145913,0.0525726224906612
"19",1,0.196022930561915,0.672904884186981,-408.919206425664,0.0142887327225229
"20",1,0.376223584716288,0.574902538114992,-111.900250887757,0.0178925752543977
"21",1,0.341712525770744,1.33506137647953,-204.945800342209,0.019395565382823
"22",1,0.246853995724409,1.90603428960627,-339.402464775483,0.0194962984385914
"23",1,0.205257184124605,1.37415291603636,-270.044448856992,0.0201246210688916
"24",1,0.112888343893249,0.659257343174564,-494.660273847597,0.0160777538293278
"25",1,0.389693881972593,1.58729464005721,-363.129379766734,0.0159201040629196
"26",1,0.247559706195381,0.476926207373057,-5.99230619110108,0.0589231922014543
"27",1,0.37279312981689,0.001,-338.612384270618,0.00728250590223899
"28",1,0.138240291588012,0.328548607799474,-230.089666240153,0.0150015853272556
"29",1,0.293926314578855,0.870430715703792,-300.89268747622,0.0150913309930993
"30",1,0.159810383916074,1.83167746783728,-153.330890632049,0.027735755899256
"31",1,0.258215893767565,1.09750371082224,-149.349380973683,0.0222746534997493
"32",1,0.331360813542647,0.694910009821207,-500,0.0112425427489266
"33",1,0.338213335716286,0.277685560665908,-453.140301950982,0.00854625400346964
"34",1,0.179387533616747,1.7256895473896,-37.4532262933469,0.0448154613591219
"35",1,0.297750936420051,0.574629553694605,-386.052030056538,0.0118203999726087
"36",1,0.181851630343804,0.944670551207421,-277.013251016735,0.0181558204593056
"37",1,0.282319521901923,1.54048806148793,-126.454708926979,0.025661686297927
"38",1,0.215345819808346,1.41868439440742,-116.173491036992,0.0276068011925861
"39",1,0.355538423286375,1.1863434543399,-500,0.0134115658203987
"40",1,0.325587101546968,1.84014113781782,-3.26593797418394,0.0591287134345998
"41",1,0.1,0.428707941528222,-407.492355980963,0.0158258292966663
"42",1,0.226521001533806,1.05401854045606,-466.666862766741,0.0151961191933494
"43",1,0.270950390535618,1.45789413336499,-319.223132320345,0.0180986387509261
"44",1,0.233019025509739,1.01118049059958,-1,0.0541841516414975
"45",1,0.384576763318376,0.587139819101906,-384.180778821954,0.0107087243226021
"46",1,0.1,0.699349578935492,-244.032679059203,0.0192514615783582
"47",1,0.106718929301146,1.18280597437697,-149.297732364176,0.0265705203916088
"48",1,0.306816579856125,0.177046425583539,-92.4102290378568,0.0123369959283257
"49",1,0.332798166538925,0.796063992014992,-164.723212026379,0.0178080219680234
"50",1,0.240981038129478,1.02622415779164,-354.310555767377,0.0160459751229901
"51",1,0.235859696239623,0.550497207518334,-299.291191520983,0.0137197627052588
"52",1,0.342928338174003,1.13487317852654,-309.664009943172,0.0156881105492381
"53",1,0.185303900072177,0.499497718853684,-143.323734500728,0.01831425752529
"54",1,0.359198622936016,0.60812388501326,-1,0.0499567373818402
"55",1,0.4,1.23063751092689,-113.953542077658,0.0228114085275784
"56",1,0.373053554688591,1.93983070810324,-241.132743225661,0.0196392343317613
"57",1,0.100646010997321,1.53773360096494,-55.5979909957803,0.0412577392792408
"58",1,0.312809198272988,0.281426436664956,-252.625216402545,0.0101390759971928
"59",1,0.271631308771644,0.427297678370855,-164.882611190601,0.0146670836048663
"60",1,0.305149903623666,1.8242976711239,-409.112611476048,0.0171738464575475
"61",1,0.195027125050529,0.185736247237848,-65.5590272262878,0.0170257701859663
"62",1,0.121759764651545,0.535134210871933,-35.9423385854947,0.0371152594166718
"63",1,0.330528108243764,1.75843763529547,-305.186125225016,0.0182851099678281
"64",1,0.191372918610068,1.55580580610063,-450.253954139212,0.0180217544924839
"65",2,0.1,0.001,-1,0.0138914633333397
"66",2,0.4,1.98218082797576,-489.548990792602,0.0129237218618753
"67",2,0.106026886910552,1.97626003688834,-500,0.0173001652636611
"68",2,0.106109310489888,0.0172277821404883,-495.837492031733,0.0123266025055703
"69",2,0.4,0.00507484599093432,-500,0.0053026981960997
"70",2,0.396890107003529,2,-1,0.0443505696194337
"71",2,0.4,0.0411877903260842,-4.01837494308512,0.0281151623955083
"72",2,0.1,2,-1,0.0587458749085933
"73",2,0.270918861495852,1.34784022066477,-427.8403351646,0.0135438977906491
"74",2,0.322152532548479,1.0128715639535,-23.6368648849427,0.0379689228167485
"75",2,0.163649858515057,1.00034159074585,-89.5880163353766,0.0247605498912821
"76",2,0.248618594912892,0.001,-122.382821492023,0.00814597773265506
"77",2,0.394560412076494,0.683680392047233,-278.175419722188,0.0107469477522226
"78",2,0.253664879284403,0.168515878139983,-388.391882789477,0.00821582931679375
"79",2,0.115636343495813,0.974866948399969,-354.111584356431,0.0155426431468598
"80",2,0.257471409615691,1.90061255365609,-166.410042209981,0.0211823445940247
"81",2,0.342261485235635,0.001,-185.36093099363,0.00623540185996501
"82",2,0.246333663604595,1.54036557959004,-17.1499778145913,0.0463641707752775
"83",2,0.196022930561915,0.672904884186981,-408.919206425664,0.0119321606905757
"84",2,0.376223584716288,0.574902538114992,-111.900250887757,0.0152331299687581
"85",2,0.341712525770744,1.33506137647953,-204.945800342209,0.0165451704441169
"86",2,0.246853995724409,1.90603428960627,-339.402464775483,0.0165416000955195
"87",2,0.205257184124605,1.37415291603636,-270.044448856992,0.0170575859776636
"88",2,0.112888343893249,0.659257343174564,-494.660273847597,0.0133345743800075
"89",2,0.389693881972593,1.58729464005721,-363.129379766734,0.0135310551343571
"90",2,0.247559706195381,0.476926207373057,-5.99230619110108,0.0523842163818789
"91",2,0.37279312981689,0.001,-338.612384270618,0.00573263520629558
"92",2,0.138240291588012,0.328548607799474,-230.089666240153,0.0124913937272934
"93",2,0.293926314578855,0.870430715703792,-300.89268747622,0.0127340933855528
"94",2,0.159810383916074,1.83167746783728,-153.330890632049,0.0236140924696325
"95",2,0.258215893767565,1.09750371082224,-149.349380973683,0.0189644181986745
"96",2,0.331360813542647,0.694910009821207,-500,0.00938043752660753
"97",2,0.338213335716286,0.277685560665908,-453.140301950982,0.0070655635998513
"98",2,0.179387533616747,1.7256895473896,-37.4532262933469,0.0388776438008886
"99",2,0.297750936420051,0.574629553694605,-386.052030056538,0.00986090118843256
"100",2,0.181851630343804,0.944670551207421,-277.013251016735,0.0152430026021358
"101",2,0.282319521901923,1.54048806148793,-126.454708926979,0.0219322971447977
"102",2,0.215345819808346,1.41868439440742,-116.173491036992,0.0235356352164439
"103",2,0.355538423286375,1.1863434543399,-500,0.0113069012320187
"104",2,0.325587101546968,1.84014113781782,-3.26593797418394,0.054298346727735
"105",2,0.1,0.428707941528222,-407.492355980963,0.0131258573161132
"106",2,0.226521001533806,1.05401854045606,-466.666862766741,0.0127409535225102
"107",2,0.270950390535618,1.45789413336499,-319.223132320345,0.0153186729903812
"108",2,0.233019025509739,1.01118049059958,-1,0.0517771818094425
"109",2,0.384576763318376,0.587139819101906,-384.180778821954,0.00898623960332862
"110",2,0.1,0.699349578935492,-244.032679059203,0.016040020917591
"111",2,0.106718929301146,1.18280597437697,-149.297732364176,0.0223136025272287
"112",2,0.306816579856125,0.177046425583539,-92.4102290378568,0.0103378727836516
"113",2,0.332798166538925,0.796063992014992,-164.723212026379,0.0151354758686552
"114",2,0.240981038129478,1.02622415779164,-354.310555767377,0.0135402445381515
"115",2,0.235859696239623,0.550497207518334,-299.291191520983,0.0114730689250846
"116",2,0.342928338174003,1.13487317852654,-309.664009943172,0.0132747797395293
"117",2,0.185303900072177,0.499497718853684,-143.323734500728,0.0154036249949939
"118",2,0.359198622936016,0.60812388501326,-1,0.0472188213012858
"119",2,0.4,1.23063751092689,-113.953542077658,0.0196238935391948
"120",2,0.373053554688591,1.93983070810324,-241.132743225661,0.0167672753857353
"121",2,0.100646010997321,1.53773360096494,-55.5979909957803,0.0350292754508567
"122",2,0.312809198272988,0.281426436664956,-252.625216402545,0.00842645852847002
"123",2,0.271631308771644,0.427297678370855,-164.882611190601,0.0123176667967161
"124",2,0.305149903623666,1.8242976711239,-409.112611476048,0.0145695941805069
"125",2,0.195027125050529,0.185736247237848,-65.5590272262878,0.0142773155005696
"126",2,0.121759764651545,0.535134210871933,-35.9423385854947,0.0314467931883851
"127",2,0.330528108243764,1.75843763529547,-305.186125225016,0.0155521912651114
"128",2,0.191372918610068,1.55580580610063,-450.253954139212,0.0151987452769601
"129",3,0.1,0.001,-1,0.0107477720227117
"130",3,0.4,1.98218082797576,-489.548990792602,0.0108761004759468
"131",3,0.106026886910552,1.97626003688834,-500,0.013614153093583
"132",3,0.106109310489888,0.0172277821404883,-495.837492031733,0.00967578965455537
"133",3,0.4,0.00507484599093432,-500,0.00494098977104453
"134",3,0.396890107003529,2,-1,0.0331432007359227
"135",3,0.4,0.0411877903260842,-4.01837494308512,0.0227638023423598
"136",3,0.1,2,-1,0.0419207278223429
"137",3,0.270918861495852,1.34784022066477,-427.8403351646,0.0110761549381037
"138",3,0.322152532548479,1.0128715639535,-23.6368648849427,0.0300658748041806
"139",3,0.163649858515057,1.00034159074585,-89.5880163353766,0.0195439905502932
"140",3,0.248618594912892,0.001,-122.382821492023,0.00704347004148931
"141",3,0.394560412076494,0.683680392047233,-278.175419722188,0.00912380917838729
"142",3,0.253664879284403,0.168515878139983,-388.391882789477,0.00695573174133923
"143",3,0.115636343495813,0.974866948399969,-354.111584356431,0.0122315718301675
"144",3,0.257471409615691,1.90061255365609,-166.410042209981,0.0170112344937978
"145",3,0.342261485235635,0.001,-185.36093099363,0.00568228046313596
"146",3,0.246333663604595,1.54036557959004,-17.1499778145913,0.0361080843952583
"147",3,0.196022930561915,0.672904884186981,-408.919206425664,0.00962813392530529
"148",3,0.376223584716288,0.574902538114992,-111.900250887757,0.0126208561710547
"149",3,0.341712525770744,1.33506137647953,-204.945800342209,0.0135759312530202
"150",3,0.246853995724409,1.90603428960627,-339.402464775483,0.0134175576786369
"151",3,0.205257184124605,1.37415291603636,-270.044448856992,0.0135810859987317
"152",3,0.112888343893249,0.659257343174564,-494.660273847597,0.0103952750757893
"153",3,0.389693881972593,1.58729464005721,-363.129379766734,0.0113145405651471
"154",3,0.247559706195381,0.476926207373057,-5.99230619110108,0.0402569383305017
"155",3,0.37279312981689,0.001,-338.612384270618,0.00527796298416482
"156",3,0.138240291588012,0.328548607799474,-230.089666240153,0.00984619152136334
"157",3,0.293926314578855,0.870430715703792,-300.89268747622,0.0105094385601229
"158",3,0.159810383916074,1.83167746783728,-153.330890632049,0.0185572911650695
"159",3,0.258215893767565,1.09750371082224,-149.349380973683,0.0153006935488811
"160",3,0.331360813542647,0.694910009821207,-500,0.00795600042095553
"161",3,0.338213335716286,0.277685560665908,-453.140301950982,0.00607768477720027
"162",3,0.179387533616747,1.7256895473896,-37.4532262933469,0.0301457069545612
"163",3,0.297750936420051,0.574629553694605,-386.052030056538,0.00826810768644112
"164",3,0.181851630343804,0.944670551207421,-277.013251016735,0.0122238611414476
"165",3,0.282319521901923,1.54048806148793,-126.454708926979,0.0177213570782274
"166",3,0.215345819808346,1.41868439440742,-116.173491036992,0.0187311132249483
"167",3,0.355538423286375,1.1863434543399,-500,0.0095071254540857
"168",3,0.325587101546968,1.84014113781782,-3.26593797418394,0.0411654727851403
"169",3,0.1,0.428707941528222,-407.492355980963,0.0101625455994778
"170",3,0.226521001533806,1.05401854045606,-466.666862766741,0.0103663602116386
"171",3,0.270950390535618,1.45789413336499,-319.223132320345,0.0124820717734573
"172",3,0.233019025509739,1.01118049059958,-1,0.0379630498979346
"173",3,0.384576763318376,0.587139819101906,-384.180778821954,0.00767811634536492
"174",3,0.1,0.699349578935492,-244.032679059203,0.0124587500980941
"175",3,0.106718929301146,1.18280597437697,-149.297732364176,0.0174645589959576
"176",3,0.306816579856125,0.177046425583539,-92.4102290378568,0.00868196765949178
"177",3,0.332798166538925,0.796063992014992,-164.723212026379,0.0124695561587085
"178",3,0.240981038129478,1.02622415779164,-354.310555767377,0.0110009687651968
"179",3,0.235859696239623,0.550497207518334,-299.291191520983,0.00935911435763567
"180",3,0.342928338174003,1.13487317852654,-309.664009943172,0.0110931040211982
"181",3,0.185303900072177,0.499497718853684,-143.323734500728,0.0122801808661073
"182",3,0.359198622936016,0.60812388501326,-1,0.0353376058827647
"183",3,0.4,1.23063751092689,-113.953542077658,0.0161733128938167
"184",3,0.373053554688591,1.93983070810324,-241.132743225661,0.0139105649172928
"185",3,0.100646010997321,1.53773360096494,-55.5979909957803,0.0271238147764039
"186",3,0.312809198272988,0.281426436664956,-252.625216402545,0.00716618515985805
"187",3,0.271631308771644,0.427297678370855,-164.882611190601,0.0101543710661233
"188",3,0.305149903623666,1.8242976711239,-409.112611476048,0.0119730686265931
"189",3,0.195027125050529,0.185736247237848,-65.5590272262878,0.0115043441124995
"190",3,0.121759764651545,0.535134210871933,-35.9423385854947,0.0244697676128947
"191",3,0.330528108243764,1.75843763529547,-305.186125225016,0.012876561628519
"192",3,0.191372918610068,1.55580580610063,-450.253954139212,0.0121408495446226
"193",4,0.1,0.001,-1,0.0279735809934617
"194",4,0.4,1.98218082797576,-489.548990792602,0.0290170577389483
"195",4,0.106026886910552,1.97626003688834,-500,0.0379033646505933
"196",4,0.106109310489888,0.0172277821404883,-495.837492031733,0.0212975083629728
"197",4,0.4,0.00507484599093432,-500,0.00980109690055503
"198",4,0.396890107003529,2,-1,0.0368508976731626
"199",4,0.4,0.0411877903260842,-4.01837494308512,0.0561107558303382
"200",4,0.1,2,-1,0.0527143976533679
"201",4,0.270918861495852,1.34784022066477,-427.8403351646,0.0303260904979042
"202",4,0.322152532548479,1.0128715639535,-23.6368648849427,0.0708905767742663
"203",4,0.163649858515057,1.00034159074585,-89.5880163353766,0.0525577393156021
"204",4,0.248618594912892,0.001,-122.382821492023,0.0147516009793821
"205",4,0.394560412076494,0.683680392047233,-278.175419722188,0.0243136906801326
"206",4,0.253664879284403,0.168515878139983,-388.391882789477,0.0154238401185633
"207",4,0.115636343495813,0.974866948399969,-354.111584356431,0.0338916056735157
"208",4,0.257471409615691,1.90061255365609,-166.410042209981,0.0453338965169133
"209",4,0.342261485235635,0.001,-185.36093099363,0.011474348970818
"210",4,0.246333663604595,1.54036557959004,-17.1499778145913,0.0809165937239057
"211",4,0.196022930561915,0.672904884186981,-408.919206425664,0.0259193705193455
"212",4,0.376223584716288,0.574902538114992,-111.900250887757,0.033398413502613
"213",4,0.341712525770744,1.33506137647953,-204.945800342209,0.0361418766642427
"214",4,0.246853995724409,1.90603428960627,-339.402464775483,0.0365546071094799
"215",4,0.205257184124605,1.37415291603636,-270.044448856992,0.0374511430620361
"216",4,0.112888343893249,0.659257343174564,-494.660273847597,0.0272271183705235
"217",4,0.389693881972593,1.58729464005721,-363.129379766734,0.0301341473263458
"218",4,0.247559706195381,0.476926207373057,-5.99230619110108,0.0831277198419277
"219",4,0.37279312981689,0.001,-338.612384270618,0.0105506992960061
"220",4,0.138240291588012,0.328548607799474,-230.089666240153,0.0254837308233534
"221",4,0.293926314578855,0.870430715703792,-300.89268747622,0.0285234905554355
"222",4,0.159810383916074,1.83167746783728,-153.330890632049,0.0502987954430167
"223",4,0.258215893767565,1.09750371082224,-149.349380973683,0.0410658124272699
"224",4,0.331360813542647,0.694910009821207,-500,0.0213126573854321
"225",4,0.338213335716286,0.277685560665908,-453.140301950982,0.0147798524177831
"226",4,0.179387533616747,1.7256895473896,-37.4532262933469,0.0746561921676922
"227",4,0.297750936420051,0.574629553694605,-386.052030056538,0.0220922056756625
"228",4,0.181851630343804,0.944670551207421,-277.013251016735,0.0337056072549502
"229",4,0.282319521901923,1.54048806148793,-126.454708926979,0.0467275829631395
"230",4,0.215345819808346,1.41868439440742,-116.173491036992,0.0498663492560725
"231",4,0.355538423286375,1.1863434543399,-500,0.0256766876037633
"232",4,0.325587101546968,1.84014113781782,-3.26593797418394,0.0660605091327194
"233",4,0.1,0.428707941528222,-407.492355980963,0.0255005417141418
"234",4,0.226521001533806,1.05401854045606,-466.666862766741,0.0284546676034308
"235",4,0.270950390535618,1.45789413336499,-319.223132320345,0.0339817098137445
"236",4,0.233019025509739,1.01118049059958,-1,0.0452486936970272
"237",4,0.384576763318376,0.587139819101906,-384.180778821954,0.0204458124762844
"238",4,0.1,0.699349578935492,-244.032679059203,0.03455038586662
"239",4,0.106718929301146,1.18280597437697,-149.297732364176,0.0482017792593127
"240",4,0.306816579856125,0.177046425583539,-92.4102290378568,0.0230963072147959
"241",4,0.332798166538925,0.796063992014992,-164.723212026379,0.0333497171706681
"242",4,0.240981038129478,1.02622415779164,-354.310555767377,0.0301238800111202
"243",4,0.235859696239623,0.550497207518334,-299.291191520983,0.025288649370383
"244",4,0.342928338174003,1.13487317852654,-309.664009943172,0.0297540229310744
"245",4,0.185303900072177,0.499497718853684,-143.323734500728,0.0338841596253507
"246",4,0.359198622936016,0.60812388501326,-1,0.042216449734436
"247",4,0.4,1.23063751092689,-113.953542077658,0.0417111731012207
"248",4,0.373053554688591,1.93983070810324,-241.132743225661,0.0365856875402416
"249",4,0.100646010997321,1.53773360096494,-55.5979909957803,0.0708511026223415
"250",4,0.312809198272988,0.281426436664956,-252.625216402545,0.0184465341040719
"251",4,0.271631308771644,0.427297678370855,-164.882611190601,0.0275268740016511
"252",4,0.305149903623666,1.8242976711239,-409.112611476048,0.0324323405062686
"253",4,0.195027125050529,0.185736247237848,-65.5590272262878,0.0314027024235149
"254",4,0.121759764651545,0.535134210871933,-35.9423385854947,0.0648328175096308
"255",4,0.330528108243764,1.75843763529547,-305.186125225016,0.034384738633288
"256",4,0.191372918610068,1.55580580610063,-450.253954139212,0.0336296140098699
"257",5,0.1,0.001,-1,0.032523975465212
"258",5,0.4,1.98218082797576,-489.548990792602,0.0370515234192696
"259",5,0.106026886910552,1.97626003688834,-500,0.0455495609797479
"260",5,0.106109310489888,0.0172277821404883,-495.837492031733,0.0215293939482181
"261",5,0.4,0.00507484599093432,-500,0.00997253745187769
"262",5,0.396890107003529,2,-1,0.0332386297184719
"263",5,0.4,0.0411877903260842,-4.01837494308512,0.0683952407644633
"264",5,0.1,2,-1,0.0503965002290551
"265",5,0.270918861495852,1.34784022066477,-427.8403351646,0.0377695934418691
"266",5,0.322152532548479,1.0128715639535,-23.6368648849427,0.0824543376129429
"267",5,0.163649858515057,1.00034159074585,-89.5880163353766,0.0625779255251682
"268",5,0.248618594912892,0.001,-122.382821492023,0.0148862339289561
"269",5,0.394560412076494,0.683680392047233,-278.175419722188,0.0309688778336239
"270",5,0.253664879284403,0.168515878139983,-388.391882789477,0.0173457490606611
"271",5,0.115636343495813,0.974866948399969,-354.111584356431,0.0404670116099669
"272",5,0.257471409615691,1.90061255365609,-166.410042209981,0.0553656887294706
"273",5,0.342261485235635,0.001,-185.36093099363,0.0116281178021846
"274",5,0.246333663604595,1.54036557959004,-17.1499778145913,0.0904083912203818
"275",5,0.196022930561915,0.672904884186981,-408.919206425664,0.0316415644253782
"276",5,0.376223584716288,0.574902538114992,-111.900250887757,0.0418269739474115
"277",5,0.341712525770744,1.33506137647953,-204.945800342209,0.0451328875582631
"278",5,0.246853995724409,1.90603428960627,-339.402464775483,0.0452088616219311
"279",5,0.205257184124605,1.37415291603636,-270.044448856992,0.0457608591221545
"280",5,0.112888343893249,0.659257343174564,-494.660273847597,0.0320507399052495
"281",5,0.389693881972593,1.58729464005721,-363.129379766734,0.0382898571331187
"282",5,0.247559706195381,0.476926207373057,-5.99230619110108,0.0888841725432049
"283",5,0.37279312981689,0.001,-338.612384270618,0.0107170083453865
"284",5,0.138240291588012,0.328548607799474,-230.089666240153,0.0300919040585674
"285",5,0.293926314578855,0.870430715703792,-300.89268747622,0.0356711673456987
"286",5,0.159810383916074,1.83167746783728,-153.330890632049,0.0601704876508427
"287",5,0.258215893767565,1.09750371082224,-149.349380973683,0.0504022923988092
"288",5,0.331360813542647,0.694910009821207,-500,0.0269238650104066
